ds,y
17/7/14,627.6
18/7/14,627.5
19/7/14,625.3
20/7/14,618.9
21/7/14,619.8
22/7/14,612.6
23/7/14,617.2
24/7/14,600.3
25/7/14,598
26/7/14,594
27/7/14,590.5
28/7/14,586.4
29/7/14,575
30/7/14,551
31/7/14,579
1/8/14,594.9
2/8/14,587.8
3/8/14,582.1
4/8/14,581.1
5/8/14,575
6/8/14,577.5
7/8/14,582.3
8/8/14,586.4
9/8/14,583.3
10/8/14,580
11/8/14,572.5
12/8/14,566
13/8/14,549
14/8/14,510
15/8/14,506.2
16/8/14,527.2
17/8/14,501.3
18/8/14,478.2
19/8/14,490.3
20/8/14,517
21/8/14,515.9
22/8/14,515.6
23/8/14,500.1
24/8/14,507.3
25/8/14,502.5
26/8/14,508.4
27/8/14,511
28/8/14,507.8
29/8/14,507.5
30/8/14,499
31/8/14,483.4
1/9/14,485.8
2/9/14,476.8
3/9/14,474
4/9/14,489.2
5/9/14,477.6
6/9/14,481.3
7/9/14,479.7
8/9/14,470.4
9/9/14,472.7
10/9/14,477.3
11/9/14,477.1
12/9/14,471.8
13/9/14,478.1
14/9/14,476.5
15/9/14,469.9
16/9/14,465.1
17/9/14,456.8
18/9/14,427.2
19/9/14,395.3
20/9/14,411.6
21/9/14,400.7
22/9/14,397.7
23/9/14,429.1
24/9/14,420.4
25/9/14,409.1
26/9/14,403
27/9/14,397.3
28/9/14,374.7
29/9/14,369.6
30/9/14,387.1
1/10/14,383
2/10/14,371.7
3/10/14,357.7
4/10/14,328.7
5/10/14,322.5
6/10/14,323.8
7/10/14,331
8/10/14,350
9/10/14,363.5
10/10/14,359.5
11/10/14,361.3
12/10/14,372
13/10/14,383.4
14/10/14,397.9
15/10/14,393.5
16/10/14,379.3
17/10/14,380.3
18/10/14,390
19/10/14,386.3
20/10/14,381
21/10/14,382.8
22/10/14,380
23/10/14,356
24/10/14,356.1
25/10/14,347.4
26/10/14,350
27/10/14,350.6
28/10/14,353.1
29/10/14,333.2
30/10/14,343.9
31/10/14,337
1/11/14,327.2
2/11/14,322.5
3/11/14,323.6
4/11/14,326.9
5/11/14,337.5
6/11/14,348.5
7/11/14,341.5
8/11/14,345
9/11/14,360
10/11/14,368
11/11/14,367
12/11/14,417.9
13/11/14,419.4
14/11/14,399.1
15/11/14,376.5
16/11/14,388.2
17/11/14,387.6
18/11/14,370
19/11/14,379.2
20/11/14,355.9
21/11/14,349.3
22/11/14,346.4
23/11/14,360.6
24/11/14,373.2
25/11/14,375.8
26/11/14,367.9
27/11/14,369.6
28/11/14,375.6
29/11/14,374.5
30/11/14,376.7
1/12/14,377.6
2/12/14,382
3/12/14,375.7
4/12/14,370.3
5/12/14,378.4
6/12/14,372.8
7/12/14,374.4
8/12/14,363.3
9/12/14,353.9
10/12/14,346.9
11/12/14,350
12/12/14,352.8
13/12/14,350.9
14/12/14,352.7
15/12/14,347.2
16/12/14,330.6
17/12/14,318.2
18/12/14,308.3
19/12/14,315.7
20/12/14,329.1
21/12/14,317.2
22/12/14,329
23/12/14,332.9
24/12/14,322.8
25/12/14,319
26/12/14,328.5
27/12/14,315.9
28/12/14,317.5
29/12/14,311.9
30/12/14,308.8
31/12/14,317
1/1/15,313.9
2/1/15,315.1
3/1/15,282
4/1/15,258.8
5/1/15,273.2
6/1/15,285.4
7/1/15,297
8/1/15,285.6
9/1/15,292.8
10/1/15,275
11/1/15,266.2
12/1/15,267.6
13/1/15,229.8
14/1/15,183.2
15/1/15,217.7
16/1/15,206.7
17/1/15,201.2
18/1/15,209.9
19/1/15,213.2
20/1/15,218
21/1/15,225.5
22/1/15,226.3
23/1/15,235
24/1/15,240
25/1/15,254.5
26/1/15,274.5
27/1/15,263.6
28/1/15,236.1
29/1/15,235
30/1/15,229.1
31/1/15,218.4
1/2/15,229
